time,horiz_displacement,horiz_displacement_filt,vertical_displacement,vertical_displacement_filt,total_displacement,total_displacement_filt,total_displacement_filt_cum,horiz_azimuth,horiz_azimuth_filt,inclination,inclination_filt,hydrological_year,hydrological_month,year,month
2018-08-31,0.040971820,0.041942166,-0.038700000,-0.027841731,0.056359383,0.050341904,0.397937978,301.323499269,58.547074937,-43.366669507,-33.576701452,2018,11,2018,8
2018-09-30,0.034724631,0.032031668,-0.022500000,-0.032656860,0.041376926,0.045743833,0.443681811,326.035354163,45.700576181,-32.941423573,-45.553726356,2018,12,2018,9
2018-10-31,0.026322994,0.016251186,0.024400000,0.017421028,0.035892339,0.023824216,0.467506027,327.094757077,42.182263545,42.828860710,46.989771883,2019,1,2018,10
2018-11-30,0.007433034,0.012561104,-0.017100000,0.001130883,0.018645643,0.012611908,0.480117935,123.476278296,28.172884593,-66.506360927,5.144500844,2019,2,2018,11
2018-12-31,0.007454529,0.003576478,-0.004900000,-0.013636498,0.008920762,0.014097705,0.494215640,173.065651099,190.774044136,-33.317660291,-75.303894758,2019,3,2018,12
2019-01-31,0.004687217,0.005284753,-0.005400000,-0.006211511,0.007150524,0.008155457,0.502371097,33.690067526,9.516179305,-49.041918529,-49.608867600,2019,4,2019,1
2019-02-28,0.005093133,0.005636314,-0.021700000,-0.015188009,0.022289684,0.016200113,0.518571210,313.408859729,48.912455706,-76.791382125,-69.639963940,2019,5,2019,2
2019-03-31,0.015435349,0.007642197,0.014200000,0.019160985,0.020973555,0.020628779,0.539199988,298.225333546,40.389194323,42.613008303,68.255832864,2019,6,2019,3
2019-04-30,0.007488381,0.009184213,0.015695522,-0.006100483,0.017390379,0.011025682,0.550225670,340.012015166,15.850569212,64.494049601,-33.593532640,2019,7,2019,4
2019-05-31,0.009880112,0.009731041,-0.021582090,-0.008065474,0.023736116,0.012639028,0.562864699,355.581379533,12.827219714,-65.402062655,-39.653289691,2019,8,2019,5
2019-06-30,0.010515346,0.009831118,0.013125373,0.001467326,0.016818083,0.009940017,0.572804715,344.961715201,13.280216665,51.300160340,8.488912387,2019,9,2019,6
2019-07-31,0.007038466,0.008746290,-0.003700000,-0.005437431,0.007951729,0.010298701,0.583103416,292.557246635,38.455164113,-27.730130314,-31.868566810,2019,10,2019,7
2019-08-31,0.041436337,0.041678708,-0.023400000,-0.034445526,0.047587078,0.054070408,0.637173824,303.881819754,57.768224468,-29.454361441,-39.572158447,2019,11,2019,8
2019-09-30,0.025031580,0.027288402,-0.022000000,-0.023383830,0.033325366,0.035936895,0.673110719,315.000000000,41.623243759,-41.311908365,-40.593754933,2019,12,2019,9
2019-10-31,0.005020956,0.009264276,0.007900000,-0.000857873,0.009360556,0.009303911,0.682414630,314.193070545,12.990615529,57.561427081,-5.290506695,2020,1,2019,10
2019-11-30,0.007156815,0.007587928,0.014100000,0.000859916,0.015812337,0.007636498,0.690051128,285.395549254,56.539982449,63.088765466,6.465568333,2020,2,2019,11
2019-12-31,0.012133425,0.010668964,-0.018600000,-0.015586312,0.022207656,0.018888089,0.708939217,336.181349500,14.025970100,-56.882196270,-55.608025434,2020,3,2019,12
2020-01-31,0.006754258,0.009324032,0.008500000,0.000418061,0.010856795,0.009333400,0.718272617,334.573125830,21.404360904,51.528693673,2.567248261,2020,4,2020,1
2020-02-29,0.010404326,0.006379486,0.014200000,-0.002438204,0.017603693,0.006829545,0.725102162,17.912509386,24.430867381,53.769803335,-20.916578596,2020,5,2020,2
2020-03-31,0.011624543,0.007414459,-0.015100000,-0.009557973,0.019056233,0.012096654,0.737198817,291.709882760,42.951832913,-52.409582091,-52.197996796,2020,6,2020,3
2020-04-30,0.005003998,0.008139541,0.014700000,0.012375917,0.015528361,0.014812679,0.752011496,357.709389957,9.028602896,71.201012230,56.667401874,2020,7,2020,4
2020-05-31,0.007778175,0.007573479,0.010100000,-0.000293377,0.012747941,0.007579159,0.759590655,315.000000000,23.195609534,52.399545969,-2.218380147,2020,8,2020,5
2020-06-30,0.012081391,0.008791689,0.020400000,0.003618161,0.023709070,0.009507097,0.769097752,340.665191462,25.785661956,59.364920859,22.369290960,2020,9,2020,6
2020-07-31,0.011672618,0.012749924,0.042300000,-0.009092459,0.043880975,0.015659929,0.784757680,9.865806943,22.492285938,74.573241916,-35.494122916,2020,10,2020,7
2020-08-31,0.052410400,0.046114176,-0.065400000,-0.044555361,0.083809367,0.064122519,0.848880199,316.314247527,44.676614560,-51.291933077,-44.015052474,2020,11,2020,8
2020-09-30,0.031420057,0.032996471,-0.045500000,-0.044790980,0.055294394,0.055632716,0.904512915,300.400824847,57.764638474,-55.372953799,-53.621791010,2020,12,2020,9
2020-10-31,0.014400694,0.011635069,0.000100000,-0.010339066,0.014401042,0.015565061,0.920077976,353.220432055,34.279102598,0.397861776,-41.624686568,2021,1,2020,10
2020-11-30,0.005685068,0.008573505,-0.004300000,0.001985985,0.007128113,0.008800519,0.928878495,309.289406863,39.539690356,-37.102671575,13.042093488,2021,2,2020,11
2020-12-31,0.009900082,0.010114887,0.045003922,0.020864941,0.046079980,0.023187426,0.952065921,333.460323391,43.540256355,77.593529176,64.136863346,2021,3,2020,12
2021-01-31,0.008192325,0.008932347,-0.026882353,-0.019897003,0.028102937,0.021810033,0.973875954,305.059426967,24.872852080,-73.051540668,-65.823291064,2021,4,2021,1
2021-02-28,0.011226751,0.008026603,-0.031329412,-0.011239464,0.033280204,0.013811297,0.987687251,342.780291483,22.926906189,-70.285092648,-54.467675149,2021,5,2021,2
2021-03-31,0.003448188,0.007279683,0.003900000,0.005198612,0.005205766,0.008945353,0.996632604,299.538782260,29.257944030,48.518469657,35.531626709,2021,6,2021,3
2021-04-30,0.005903389,0.008015497,-0.002200000,0.001605519,0.006300000,0.008174710,1.004807314,321.188615963,28.057683627,-20.438779576,11.326560115,2021,7,2021,4
2021-05-31,0.015647364,0.009687723,0.006000000,-0.008705439,0.016758282,0.013024463,1.017831777,324.887988816,32.642103200,20.979379637,-41.943033325,2021,8,2021,5
2021-06-30,0.005948109,0.009556648,0.002000000,-0.005796615,0.006275349,0.011177221,1.029008998,343.393019421,15.330477279,18.584771581,-31.239037603,2021,9,2021,6
2021-07-31,0.012393950,0.010598197,0.007700000,-0.002567294,0.014591093,0.010904714,1.039913712,345.515266440,32.004696191,31.851479420,-13.616956840,2021,10,2021,7
2021-08-31,0.016077624,0.018848659,-0.012500000,-0.013691953,0.020365166,0.023296814,1.063210526,311.722324048,51.431167194,-37.864282103,-35.995225778,2021,11,2021,8
2021-09-30,0.031286099,0.031889615,-0.032400000,-0.030784014,0.045039760,0.044323843,1.107534370,312.409198015,50.967612508,-46.002028881,-43.989372892,2021,12,2021,9
2021-10-31,0.011552056,0.012395269,-0.016900000,-0.006757468,0.020470955,0.014117580,1.121651949,348.009165021,38.884597870,-55.645299741,-28.597677595,2022,1,2021,10
2021-11-30,0.000538516,0.005636308,0.060700000,0.013004190,0.060702389,0.014173106,1.135825055,338.198590514,43.826887520,89.491698318,66.567005954,2022,2,2021,11
2021-12-31,0.008009994,0.008040778,-0.018300000,-0.010275787,0.019976236,0.013047832,1.148872887,267.137594774,19.384194059,-66.360784723,-51.956906660,2022,3,2021,12
2022-01-31,0.003224903,0.006603754,-0.004000000,-0.005087276,0.005138093,0.008336063,1.157208950,7.125016349,23.977325470,-51.123344864,-37.609261929,2022,4,2022,1
2022-02-28,0.008700000,0.006323714,-0.015400000,-0.005356193,0.017687566,0.008287229,1.165496179,316.397181027,30.822149264,-60.536372024,-40.264635035,2022,5,2022,2
2022-03-31,0.006319810,0.007606909,-0.010400000,-0.002033772,0.012169634,0.007874090,1.173370268,4.537772508,9.986173829,-58.714035762,-14.968422138,2022,6,2022,3
2022-04-30,0.010983624,0.007370356,-0.005500000,0.004485510,0.012283729,0.008627975,1.181998244,349.508522988,31.956199297,-26.599210609,31.324190827,2022,7,2022,4
2022-05-31,0.003635932,0.006494321,-0.005300000,-0.003647887,0.006427286,0.007448711,1.189446954,328.495733281,32.168196275,-55.548908704,-29.323101313,2022,8,2022,5
2022-06-30,0.009638465,0.008807399,0.007000000,0.003819812,0.011912179,0.009600064,1.199047019,329.444035724,46.191342866,35.989281777,23.446614289,2022,9,2022,6
2022-07-31,0.030641965,0.030005256,-0.019300000,-0.021714807,0.036213533,0.037038470,1.236085488,309.039438343,52.199704225,-32.204987096,-35.893263807,2022,10,2022,7
2022-08-31,0.052432242,0.053960288,-0.056700000,-0.059972678,0.077227133,0.080674871,1.316760359,309.427802196,48.668457040,-47.239484694,-48.020769993,2022,11,2022,8
2022-09-30,0.034830446,0.027448376,-0.058000000,-0.030941780,0.067654712,0.041361904,1.358122263,330.785620020,42.520419020,-59.014133311,-48.423847864,2022,12,2022,9
2022-10-31,0.002024846,0.007293769,-0.011700000,-0.009986114,0.011873921,0.012366145,1.370488409,302.905242923,43.681634177,-80.181433133,-53.855939698,2023,1,2022,10
2022-11-30,0.006419502,0.006352203,0.009100000,0.007567568,0.011136427,0.009880211,1.380368620,265.532840939,32.872194683,54.799337056,49.989966077,2023,2,2022,11
2022-12-31,0.004753946,0.006566829,-0.023500000,-0.006433500,0.023976030,0.009193104,1.389561724,337.750976343,15.573496272,-78.563656162,-44.412408295,2023,3,2022,12
2023-01-31,0.006120457,0.007465124,0.003600000,-0.006361618,0.007100704,0.009808071,1.399369796,355.314100160,14.287424164,30.463673217,-40.436925330,2023,4,2023,1
2023-02-28,0.009124144,0.008214838,-0.031200000,-0.011444775,0.032506769,0.014087812,1.413457607,297.407575438,2.964536343,-73.698942132,-54.329945353,2023,5,2023,2
2023-03-31,0.014610955,0.005729801,-0.002700000,0.002056433,0.014858331,0.006087655,1.419545262,19.179008026,22.603729220,-10.469741751,19.743125748,2023,6,2023,3
2023-04-30,0.006082763,0.005381265,0.007700000,0.005724627,0.009812747,0.007856803,1.427402065,226.332219854,58.875027342,51.692352445,46.770855952,2023,7,2023,4
2023-05-31,0.010610372,0.005455789,0.012900000,-0.007681443,0.016702994,0.009421794,1.436823859,336.092339506,20.548929053,50.562379297,-54.615505014,2023,8,2023,5
2023-06-30,0.014948244,0.007890817,0.009400000,0.004339094,0.017658143,0.009005150,1.445829009,355.395512843,38.009224631,32.163176097,28.806024774,2023,9,2023,6
2023-07-31,0.010762899,0.010414435,-0.010400000,-0.000439955,0.014966630,0.010423724,1.456252733,311.987212496,44.726486167,-44.017594101,-2.419006156,2023,10,2023,7
2023-08-31,0.049816162,0.310011715,-0.042600000,-0.033300158,0.065547006,0.311795068,1.768047801,273.913533291,89.146877344,-40.535213757,-6.130964416,2023,11,2023,8
2023-09-30,4.405114418,4.257039587,-0.794600000,-0.793793125,4.476206228,4.330414942,6.098462743,335.553892344,20.226881574,-10.225130226,-10.562412548,2023,12,2023,9
2023-10-31,0.000781025,0.002398637,-0.027400000,-0.014365249,0.027411129,0.014564129,6.113026871,50.194428908,143.413392815,-88.367251078,-80.520491891,2024,1,2023,10
2023-11-30,0.011448144,0.006385278,-0.008900000,-0.012411179,0.014500690,0.013957405,6.126984276,17.801872051,49.229252199,-37.862158746,-62.775179825,2024,2,2023,11
2023-12-31,0.019550959,0.008647704,0.000100000,-0.003311951,0.019551215,0.009260227,6.136244503,329.237280466,23.521958525,0.293056109,-20.956151121,2024,3,2023,12
2024-01-31,0.010018483,0.009240321,0.014600000,0.000545277,0.017706778,0.009256396,6.145500899,27.332359492,22.716172940,55.542184991,3.377141691,2024,4,2024,1
